Burundi 8
Comoros 1
Djibouti 10
Eritrea 7
Ethiopia 12
Kenya 6
Madagascar 11
Malawi 2
Mauritius 3
Mayotte 6
Mozambique 12
Reunion 2
Rwanda 23
Seychelles 10
Somalia 8
