Canada	 22 
Czechoslovakia	 13 
East-Germany	 10 
France	 52 
Japan	 43 
South-Korea	 9 
Soviet-Union	 73 
Spain	 10 
Sweden	 12 
UK	 41 
USA	 119 
West-Germany	 23 
